LGA_x,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,Testing Rate,,,,,,,,
Southern Grampians ,VIC233,16100,0,2,0,0,0,Southern Grampians,31/10/2020,2919,,,,,,,,
Stonnington ,VIC203,117768,0,260,0,0,0,Stonnington,31/10/2020,3875,,,,,,,,
Strathbogie ,VIC110,10781,0,2,0,0,0,Strathbogie,31/10/2020,2653,,,,,,,,
Surf Coast ,VIC225,33456,0,15,0,0,0,Surf Coast,31/10/2020,2819,,,,,,,,
Swan Hill ,VIC180,20649,0,5,0,0,0,Swan Hill,31/10/2020,2300,,,,,,,,
Towong ,VIC187,6040,0,0,0,0,0,Towong,31/10/2020,2930,,,,,,,,
Wangaratta ,VIC186,29187,0,2,0,0,0,Wangaratta,31/10/2020,2583,,,,,,,,
Warrnambool ,VIC179,35181,0,13,0,0,0,Warrnambool,31/10/2020,4011,,,,,,,,
Wellington ,VIC218,44380,0,16,0,0,0,Wellington,31/10/2020,2150,,,,,,,,
West Wimmera ,VIC232,3841,0,1,0,0,0,West Wimmera,31/10/2020,2786,,,,,,,,
Whitehorse ,VIC196,178739,1,217,0.6,0,1,Whitehorse,31/10/2020,3182,,,,,,,,
Whittlesea ,VIC197,230238,2,1206,0.9,0,1,Whittlesea,31/10/2020,3453,,,,,,,,
Wodonga ,VIC192,42083,0,2,0,0,0,Wodonga,31/10/2020,2733,,,,,,,,
Wyndham ,VIC221,270487,11,2265,4.1,0,1,Wyndham,31/10/2020,3526,,,,,,,,
Yarra ,VIC202,101495,1,462,1,0,1,Yarra,31/10/2020,4047,,,,,,,,
Yarra Ranges ,VIC206,159462,0,249,0,0,0,Yarra Ranges,31/10/2020,2536,,,,,,,,
Yarriambiack ,VIC200,6639,0,1,0,0,0,Yarriambiack,31/10/2020,2666,,,,,,,,
