age,sex,deaths
0,1,0
0,2,0
10,1,0
10,2,0
20,1,1
20,2,0
30,1,2
30,2,0
40,1,2
40,2,0
50,1,10
50,2,5
60,1,26
60,2,12
70,1,100
70,2,54
80,1,181
80,2,195
90,1,114
90,2,199
