iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
MDA,Europe,Moldova,29/10/2020,73321,861,647.143,1729,19,14.143,18175.923,213.438,160.424,428.611,4.71,3.506,,,,,,,,,,,,,,,,,,,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
MCO,Europe,Monaco,29/10/2020,337,17,9.143,1,0,0,8587.3,433.187,232.975,25.482,0,0,,,,,,,,,,,,,,,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,
MNG,Asia,Mongolia,29/10/2020,340,0,1.714,,0,0,103.713,0,0.523,,0,0,,,,,,,,,,,,,,,,,,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.741
MNE,Europe,Montenegro,29/10/2020,17392,301,189,282,7,4.571,27691.534,479.252,300.926,449,11.145,7.279,,,,,,,,,,,,,,,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.814
MSR,North America,Montserrat,29/10/2020,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,,,,,,,,,,,,,,,,,,,4999,,,,,,,,,,,,,74.16,
MAR,Africa,Morocco,29/10/2020,207718,3985,3591.143,3506,61,58.429,5627.604,107.964,97.293,94.986,1.653,1.583,,,,,,,,,,,,,,,,,,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.667
MOZ,Africa,Mozambique,29/10/2020,12415,142,154.857,91,2,1.714,397.211,4.543,4.955,2.911,0.064,0.055,,,,,,,,,,,,,,,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.437
MMR,Asia,Myanmar,29/10/2020,49072,1406,1339.429,1172,25,28.571,901.896,25.841,24.617,21.54,0.459,0.525,,,,,,,,,,,,,,,,,,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578
NAM,Africa,Namibia,29/10/2020,12806,77,57.143,133,0,0,5039.915,30.304,22.489,52.343,0,0,,,,,,,,,,,,,,,,,,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.647
NPL,Asia,Nepal,29/10/2020,162354,1954,2497.429,887,11,13.714,5572.127,67.063,85.714,30.443,0.378,0.471,,,,,,,,,,,,,,,,,,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
NLD,Europe,Netherlands,29/10/2020,329321,17789,10925.714,7192,60,47,19219.343,1038.175,637.63,419.729,3.502,2.743,,,,,,,,,,,,,,,,,,,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.931
NCL,Oceania,New Caledonia,29/10/2020,27,0,0,,0,0,94.574,0,0,,0,0,,,,,,,,,,,,,,,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,
NZL,Oceania,New Zealand,29/10/2020,1593,6,5,25,0,0,330.345,1.244,1.037,5.184,0,0,,,,,,,,,,,,,,,,,,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
NIC,North America,Nicaragua,29/10/2020,5514,0,11.429,156,0,0.143,832.358,0,1.725,23.549,0,0.022,,,,,,,,,,,,,,,,,,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.658
NER,Africa,Niger,29/10/2020,1218,0,0.571,69,0,0,50.317,0,0.024,2.85,0,0,,,,,,,,,,,,,,,,,,,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.354
NGA,Africa,Nigeria,29/10/2020,62371,147,100.571,1139,4,2,302.567,0.713,0.488,5.525,0.019,0.01,,,,,,,,,,,,,,,,,,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.532
MNP,Oceania,Northern Mariana Islands,29/10/2020,92,0,0.571,2,0,0,1598.415,0,9.928,34.748,0,0,,,,,,,,,,,,,,,,,,,57557,119.878,,,,,,194.994,,,,,,76.74,
NOR,Europe,Norway,29/10/2020,18663,322,270.286,280,0,0.143,3442.569,59.396,49.857,51.649,0,0.026,,,,,,,,,,,,,,,,,,,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
OMN,Asia,Oman,29/10/2020,114434,614,421.429,1208,5,10.143,22408.943,120.236,82.526,236.556,0.979,1.986,,,,,,,,,,,,,,,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
PAK,Asia,Pakistan,29/10/2020,331108,908,804,6775,16,10.429,1498.957,4.111,3.64,30.671,0.072,0.047,,,,,,,,,,,,,,,,,,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PSE,Asia,Palestine,29/10/2020,63614,450,492.857,536,8,5.429,12469.871,88.211,96.612,105.069,1.568,1.064,,,,,,,,,,,,,,,,,,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.686
PAN,North America,Panama,29/10/2020,131247,825,687.429,2663,13,9.429,30418.09,191.204,159.32,617.183,3.013,2.185,,,,,,,,,,,,,,,,,,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
PNG,Oceania,Papua New Guinea,29/10/2020,588,0,0.714,7,0,0,65.72,0,0.08,0.782,0,0,,,,,,,,,,,,,,,,,,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.544
PRY,South America,Paraguay,29/10/2020,61290,733,638.714,1359,32,15.571,8593.024,102.769,89.549,190.535,4.486,2.183,,,,,,,,,,,,,,,,,,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.702
PER,South America,Peru,29/10/2020,894928,2431,2577.571,34315,58,54,27142.187,73.73,78.175,1040.736,1.759,1.638,,,,,,,,,,,,,,,,,,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
PHL,Asia,Philippines,29/10/2020,375180,2036,1848.143,7114,61,52.429,3423.766,18.58,16.866,64.92,0.557,0.478,,,,,,,,,,,,,,,,,,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.699
POL,Europe,Poland,29/10/2020,299049,18820,13781.429,4851,236,142.857,7901.607,497.27,364.139,128.175,6.236,3.775,,,,,,,,,,,,,,,,,,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
PRT,Europe,Portugal,29/10/2020,128392,3960,3160.143,2395,24,23.714,12591.516,388.361,309.918,234.88,2.354,2.326,,,,,,,,,,,,,,,,,,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.847
PRI,North America,Puerto Rico,29/10/2020,63587,90,679.571,813,5,5.571,22226.689,31.459,237.543,284.182,1.748,1.947,,,,,,,,,,,,,,,,,,,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,
QAT,Asia,Qatar,29/10/2020,131939,250,247,230,0,0.714,45795.298,86.774,85.732,79.832,0,0.248,,,,,,,,,,,,,,,,,,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.856
ROU,Europe,Romania,29/10/2020,222559,5343,4493.857,6681,107,88,11568.909,277.736,233.597,347.287,5.562,4.574,,,,,,,,,,,,,,,,,,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.811
RUS,Europe,Russia,29/10/2020,1563976,16202,16663,26935,346,283.286,10716.975,111.022,114.181,184.569,2.371,1.941,,,,,,,,,,,,,,,,,,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.816
RWA,Africa,Rwanda,29/10/2020,5129,45,16.714,35,0,0.143,395.994,3.474,1.29,2.702,0,0.011,,,,,,,,,,,,,,,,,,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.524
KNA,North America,Saint Kitts and Nevis,29/10/2020,19,0,0,,0,0,357.197,0,0,,0,0,,,,,,,,,,,,,,,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
LCA,North America,Saint Lucia,29/10/2020,73,10,4.857,,0,0,397.541,54.458,26.451,,0,0,,,,,,,,,,,,,,,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.747
VCT,North America,Saint Vincent and the Grenadines,29/10/2020,74,0,0.857,,0,0,666.985,0,7.726,,0,0,,,,,,,,,,,,,,,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
SMR,Europe,San Marino,29/10/2020,927,75,21.857,42,0,0,27314.515,2209.912,644.032,1237.551,0,0,,,,,,,,,,,,,,,,,,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
STP,Africa,Sao Tome and Principe,29/10/2020,943,2,1.143,15,0,0,4302.773,9.126,5.215,68.443,0,0,,,,,,,,,,,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
SAU,Asia,Saudi Arabia,29/10/2020,346047,416,382,5348,19,16.143,9939.918,11.949,10.973,153.617,0.546,0.464,,,,,,,,,,,,,,,,,,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.853
SEN,Africa,Senegal,29/10/2020,15582,11,14,322,0,0.143,930.606,0.657,0.836,19.231,0,0.009,,,,,,,,,,,,,,,,,,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.505
SRB,Europe,Serbia,29/10/2020,42208,1328,726.857,803,5,3.286,6202.866,195.162,106.819,118.008,0.735,0.483,,,,,,,,,,,,,,,,,,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.787
SYC,Africa,Seychelles,29/10/2020,153,0,0.286,,0,0,1555.827,0,2.905,,0,0,,,,,,,,,,,,,,,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
SLE,Africa,Sierra Leone,29/10/2020,2354,4,2.429,74,0,0.143,295.099,0.501,0.304,9.277,0,0.018,,,,,,,,,,,,,,,,,,,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
SGP,Asia,Singapore,29/10/2020,57987,7,7.714,28,0,0,9911.727,1.197,1.319,4.786,0,0,,,,,,,,,,,,,,,,,,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SXM,North America,Sint Maarten (Dutch part),29/10/2020,805,16,5.143,22,0,0,18772.445,373.117,119.93,513.036,0,0,,,,,,,,,,,,,,,,,,,42882,1209.088,,,,36327.232,,,,,,,,78.95,
SVK,Europe,Slovakia,29/10/2020,48943,2887,2191.571,184,8,12.286,8964.506,528.789,401.413,33.702,1.465,2.25,,,,,,,,,,,,,,,,,,,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.855
SVN,Europe,Slovenia,29/10/2020,28215,2612,1747.429,205,13,5.429,13571.872,1256.414,840.541,98.608,6.253,2.611,,,,,,,,,,,,,,,,,,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.896
SLB,Oceania,Solomon Islands,29/10/2020,8,0,0.714,,0,0,11.647,0,1.04,,0,0,,,,,,,,,,,,,,,,,,,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.546
SOM,Africa,Somalia,29/10/2020,3941,0,7.286,104,0,0.429,247.967,0,0.458,6.544,0,0.027,,,,,,,,,,,,,,,,,,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
ZAF,Africa,South Africa,29/10/2020,719714,1863,1622.143,19111,58,52.857,12135.051,31.412,27.351,322.229,0.978,0.891,,,,,,,,,,,,,,,,,,38.89,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699
KOR,Asia,South Korea,29/10/2020,26271,125,104,462,1,1.286,512.413,2.438,2.029,9.011,0.02,0.025,,,,,,,,,,,,,,,,,,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.903
SSD,Africa,South Sudan,29/10/2020,2890,0,2.857,56,0,0.143,258.18,0,0.255,5.003,0,0.013,,,,,,,,,,,,,,,,,,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.388
LKA,Asia,Sri Lanka,29/10/2020,9205,335,461,19,0,0.857,429.874,15.645,21.529,0.887,0,0.04,,,,,,,,,,,,,,,,,,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.77
SDN,Africa,Sudan,29/10/2020,13765,0,5.857,837,0,0.143,313.916,0,0.134,19.088,0,0.003,,,,,,,,,,,,,,,,,,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.502
SUR,South America,Suriname,29/10/2020,5187,0,5.286,111,0,0.286,8841.97,0,9.01,189.215,0,0.487,,,,,,,,,,,,,,,,,,,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72
SWZ,Africa,Swaziland,29/10/2020,5886,11,11.571,116,0,0,5073.421,9.481,9.974,99.986,0,0,,,,,,,,,,,,,,,,,,,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588
CHE,Europe,Switzerland,29/10/2020,135197,8155,6204.857,1953,24,14,15621.371,942.272,716.942,225.66,2.773,1.618,,,,,,,,,,,,,,,,,,,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
SYR,Asia,Syria,29/10/2020,5580,52,50.857,278,3,3,318.845,2.971,2.906,15.885,0.171,0.171,,,,,,,,,,,,,,,,,,,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.536
TWN,Asia,Taiwan,29/10/2020,553,3,1.286,7,0,0,23.219,0.126,0.054,0.294,0,0,,,,,,,,,,,,,,,,,,,23816775,,42.2,,8.353,,,103.957,,,,,,80.46,
TJK,Asia,Tajikistan,29/10/2020,10900,40,41,82,1,0.286,1142.84,4.194,4.299,8.598,0.105,0.03,,,,,,,,,,,,,,,,,,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.65
TZA,Africa,Tanzania,29/10/2020,509,0,0,21,0,0,8.521,0,0,0.352,0,0,,,,,,,,,,,,,,,,,,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538
THA,Asia,Thailand,29/10/2020,3763,4,6.286,59,0,0,53.911,0.057,0.09,0.845,0,0,,,,,,,,,,,,,,,,,,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
TLS,Asia,Timor,29/10/2020,30,0,0.143,,0,0,22.754,0,0.108,,0,0,,,,,,,,,,,,,,,,,,,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
TGO,Africa,Togo,29/10/2020,2238,9,16.857,54,0,0.429,270.331,1.087,2.036,6.523,0,0.052,,,,,,,,,,,,,,,,,,,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
TTO,North America,Trinidad and Tobago,29/10/2020,5594,26,28.857,107,1,0.857,3997.168,18.578,20.62,76.456,0.715,0.612,,,,,,,,,,,,,,,,,,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.784
TUN,Africa,Tunisia,29/10/2020,54278,1879,1198,1153,170,59,4592.584,158.986,101.365,97.558,14.384,4.992,,,,,,,,,,,,,,,,,,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
TUR,Asia,Turkey,29/10/2020,368513,2305,2155.286,10027,77,73.429,4369.422,27.33,25.555,118.889,0.913,0.871,,,,,,,,,,,,,,,,,,,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TCA,North America,Turks and Caicos Islands,29/10/2020,703,0,0.714,6,0,0,18156.93,0,18.448,154.967,0,0,,,,,,,,,,,,,,,,,,,38718,37.312,,,,,,,,,,,,80.22,
UGA,Africa,Uganda,29/10/2020,11767,146,119.143,106,3,1.143,257.253,3.192,2.605,2.317,0.066,0.025,,,,,,,,,,,,,,,,,,,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
UKR,Europe,Ukraine,29/10/2020,363075,7474,6749.857,6755,165,118.286,8301.939,170.898,154.34,154.457,3.773,2.705,,,,,,,,,,,,,,,,,,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
ARE,Asia,United Arab Emirates,29/10/2020,129024,1400,1413.143,485,3,1.857,13045.377,141.551,142.88,49.037,0.303,0.188,,,,,,,,,,,,,,,,,,,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
GBR,Europe,United Kingdom,29/10/2020,942275,24700,21863.714,45675,310,216.714,13880.254,363.845,322.065,672.819,4.566,3.192,,,,,,,,,,,,,,,,,,,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.922
USA,North America,United States,29/10/2020,8858024,78371,74534.571,227700,977,785.571,26761.188,236.768,225.178,687.91,2.952,2.373,,,,,,,,,,,,,,,,,,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.924
URY,South America,Uruguay,29/10/2020,2981,65,45.429,55,1,0.286,858.156,18.712,13.078,15.833,0.288,0.082,,,,,,,,,,,,,,,,,,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.804
UZB,Asia,Uzbekistan,29/10/2020,66313,276,282.571,560,3,3.143,1981.314,8.246,8.443,16.732,0.09,0.094,,,,,,,,,,,,,,,,,,,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.71
VAT,Europe,Vatican,29/10/2020,26,0,0,,0,0,32138.443,0,0,,0,0,,,,,,,,,,,,,,,,,,,809,,,,,,,,,,,,,75.12,
VEN,South America,Venezuela,29/10/2020,90876,476,405.857,784,4,4.429,3195.815,16.739,14.273,27.571,0.141,0.156,,,,,,,,,,,,,,,,,,,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.761
VNM,Asia,Vietnam,29/10/2020,1173,1,4,35,0,0,12.051,0.01,0.041,0.36,0,0,,,,,,,,,,,,,,,,,,,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694
WLF,Oceania,Wallis and Futuna,29/10/2020,1,0,0,,0,0,88.921,0,0,,0,0,,,,,,,,,,,,,,,,,,,11246,,,,,,,,,,,,,79.94,
ESH,Africa,Western Sahara,29/10/2020,766,0,0,1,0,0,1282.373,0,0,1.674,0,0,,,,,,,,,,,,,,,,,,,597330,,28.4,,1.38,,,,,,,,,70.26,
YEM,Asia,Yemen,29/10/2020,2064,0,0.429,600,0,0.143,69.201,0,0.014,20.117,0,0.005,,,,,,,,,,,,,,,,,,,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
ZMB,Africa,Zambia,29/10/2020,16325,82,46.429,392,44,6.571,888.003,4.46,2.525,21.323,2.393,0.357,,,,,,,,,,,,,,,,,,,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.588
ZWE,Africa,Zimbabwe,29/10/2020,8320,5,15,242,0,0.857,559.782,0.336,1.009,16.282,0,0.058,,,,,,,,,,,,,,,,,,71.3,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535
